n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,slice,holdout_season
6243,5309,9.707786901963868,12.438973898298237,8.010606288909912,0.7336216562550056,9.265235886721474,8.872951591636843,0.3922842950846306,,,,,HistGradientBoosting,full,2024
6243,5309,9.714326496629695,12.462383081466157,7.997335910797119,0.735223450264296,9.25302142200944,8.872951591636843,0.38006983037259623,,,,,HistGradientBoostingSwappedSlots,full,2024
6292,5437,9.638301092858946,12.439657372296493,7.904244348406792,0.7425301970756516,9.127939894709764,8.759334191649806,0.36860570305995743,,,,,HistGradientBoosting,full,2025
6292,5437,9.668430653232646,12.465691064579419,8.006874322891235,0.7439605848696758,9.154565010855396,8.759334191649806,0.3952308192055902,,,,,HistGradientBoostingSwappedSlots,full,2025
5401,4978,9.41049707590104,12.111359987548106,7.7383023500442505,0.7374560266617293,8.979057233600294,8.739152269987947,0.23990496361234648,,,,,HistGradientBoosting,pre_dec15,2019
5401,4978,9.417001330704672,12.127510671709787,7.713607311248779,0.7357896685798926,8.98156532206996,8.739152269987947,0.24241305208201247,,,,,HistGradientBoostingSwappedSlots,pre_dec15,2019
5197,4831,9.56654414773461,12.428426287781493,7.6690850257873535,0.7390802385991918,9.073760036698102,8.797660939764024,0.27609909693407886,,,,,HistGradientBoosting,pre_dec15,2020
5197,4831,9.589096115425294,12.458232704927743,7.711303234100342,0.7390802385991918,9.080014572390633,8.797660939764024,0.2823536326266094,,,,,HistGradientBoostingSwappedSlots,pre_dec15,2020
5522,5083,9.378456507359104,12.175866437799549,7.491303384304047,0.743208982252807,8.848957446455975,8.64420617745426,0.20475126900171503,,,,,HistGradientBoosting,pre_dec15,2022
5522,5083,9.3957024532172,12.202754397667622,7.480678081512451,0.7390438247011952,8.848382697979222,8.64420617745426,0.20417652052496216,,,,,HistGradientBoostingSwappedSlots,pre_dec15,2022
5541,5167,9.602011954211095,12.298360956392976,7.927463531494141,0.7289297960656921,9.165364478635547,8.894426166053803,0.2709383125817446,,,,,HistGradientBoosting,pre_dec15,2023
5541,5167,9.58663555153804,12.251915100824796,7.901032447814941,0.7316368886482585,9.146251194197218,8.894426166053803,0.2518250281434149,,,,,HistGradientBoostingSwappedSlots,pre_dec15,2023
