awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
Big East,289.0,60,Butler,34,26067,Big Ten,-370.0,68,Indiana,121,129.0,,consensus,2021,regular,7.5,,2020-12-19T16:30:00.000Z,-1.0,3.0,Indiana,Butler,121,34,True,2020-12-19T16:30:00.000Z,high,strong_moneyline_conflict,
Big Ten,165.0,88,Iowa,124,26063,WCC,-200.0,99,Gonzaga,102,170.0,,consensus,2021,regular,4.5,,2020-12-19T17:00:00.000Z,-1.0,3.0,Gonzaga,Iowa,102,124,True,2020-12-19T17:00:00.000Z,medium,moneyline_conflict,
ACC,168.0,78,Notre Dame,213,26092,Big Ten,-201.0,88,Purdue,236,133.0,,consensus,2021,regular,4.5,,2020-12-19T19:30:00.000Z,-1.0,3.0,Purdue,Notre Dame,236,213,True,2020-12-19T19:30:00.000Z,medium,moneyline_conflict,
WAC,198.0,65,Grand Canyon,104,26194,WCC,-247.0,68,San Francisco,259,141.5,,consensus,2021,regular,5.5,,2020-12-21T00:00:00.000Z,-1.0,3.0,San Francisco,Grand Canyon,259,104,True,2020-12-21T00:00:00.000Z,medium,moneyline_conflict,
Pac-12,369.0,69,Washington,343,26197,Pac-12,-488.0,92,Colorado,56,133.5,,consensus,2021,regular,9.0,,2020-12-21T03:00:00.000Z,-1.0,3.0,Colorado,Washington,56,343,True,2020-12-21T03:00:00.000Z,high,strong_moneyline_conflict,
Big Sky,366.0,65,Northern Arizona,206,26217,Sun Belt,-487.0,70,Texas State,297,127.5,,consensus,2021,regular,9.0,,2020-12-21T20:00:00.000Z,-1.0,3.0,Texas State,Northern Arizona,297,206,True,2020-12-21T20:00:00.000Z,high,strong_moneyline_conflict,
Patriot,316.0,75,Army,15,26709,Patriot,-417.0,73,Colgate,55,149.5,,consensus,2021,regular,8.5,,2021-01-03T20:00:00.000Z,-1.0,3.0,Colgate,Army,55,15,False,2021-01-03T20:00:00.000Z,high,strong_moneyline_conflict,
SWAC,441.0,58,Arkansas-Pine Bluff,14,29512,SWAC,-621.0,64,Jackson State,126,129.0,,consensus,2021,regular,10.5,,2021-03-02T01:30:00.000Z,-1.0,3.0,Jackson State,Arkansas-Pine Bluff,126,14,False,2021-03-02T01:30:00.000Z,high,strong_moneyline_conflict,
Patriot,269.0,79,Army,15,24961,NEC,-330.0,57,Central Connecticut,44,145.0,,teamrankings,2021,regular,7.5,,2020-11-27T19:00:00.000Z,1.0,1.0,Central Connecticut,Army,44,15,True,2020-11-27T19:00:00.000Z,high,strong_moneyline_conflict,
Mountain West,271.0,53,Air Force,2,18603,Summit,-349.0,59,South Dakota,269,130.5,,consensus,2022,regular,7.5,,2021-11-11T19:30:00.000Z,0.0,2.0,South Dakota,Air Force,269,2,False,2021-11-11T19:30:00.000Z,high,strong_moneyline_conflict,
