season,option,base_score,calibration_method,cover_logloss,cover_brier,pick_prob_mean,pick_prob_std,pick_prob_edge_mean,prob80_n,prob80_winrate,prob80_roi,prob85_n,prob85_winrate,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob,top100_overlap_vs_raw,top100_churn_vs_raw,top100_overlap_vs_best,top100_churn_vs_best,top200_overlap_vs_raw,top200_churn_vs_raw,top200_overlap_vs_best,top200_churn_vs_best,top500_overlap_vs_raw,top500_churn_vs_raw,top500_overlap_vs_best,top500_churn_vs_best
2022,isotonic_best_posthoc_z,z_best,isotonic,0.6917945457635555,0.24935076921978108,0.5184208947662736,0.03527737910780564,-0.005388629043250149,16,0.875,0.6704545454545454,15,0.8666666666666667,0.6545454545454543,94,0.09671179883945837,38,0.3062200956937798,0.08818181818181818,0.57,0.7048976682468782,0.05499999999999998,0.5527638190954773,0.6496844110465162,0.0750909090909091,0.5633802816901409,0.592856632213695,93,14,92,16,159,82,160,80,333,334,333,334
2023,raw_mlp_normal,z_raw,normal,0.7086531437935539,0.25684839123472425,0.581972569222747,0.071755745943932,0.05816304541322312,106,0.6792452830188679,0.2967409948542024,55,0.7454545454545455,0.4231404958677686,1234,0.028068365993811698,580,0.13401253918495296,0.2981818181818181,0.68,0.8655756442655147,0.16454545454545452,0.61,0.8201328968516073,0.10163636363636362,0.5771543086172345,0.7535813833271083,100,0,92,16,200,0,190,20,500,0,489,22
2023,best_posthoc_normal,z_best,normal,0.7087694019664756,0.256864016522402,0.5825931551467283,0.07296716957666922,0.058783631337204434,114,0.6842105263157895,0.3062200956937799,61,0.7540983606557377,0.4396423248882266,1244,0.029011984799766154,591,0.1355176126749731,0.3172727272727272,0.69,0.8746312133208843,0.18363636363636363,0.62,0.826809735491899,0.09018181818181818,0.5711422845691383,0.7577780444358304,92,16,100,0,190,20,200,0,489,22,500,0
2023,constant14_normal,z_const14,normal,0.7026510974816403,0.25418875511469674,0.569295029654733,0.0661492257200091,0.04548550584520919,80,0.7125,0.36022727272727273,50,0.78,0.4890909090909091,853,0.0732175210487051,380,0.14306220095693778,0.3081818181818181,0.6868686868686869,0.8585803566187471,0.2268181818181818,0.6432160804020101,0.8048062529644437,0.11309090909090908,0.5831663326653307,0.7316757738034757,73,54,80,40,161,78,169,62,401,198,410,180
2023,logistic_raw_z,z_raw,logistic,0.692278754423198,0.24957523987722452,0.516797093072466,0.017223424152611407,-0.007012430737057844,0,,,0,,,5,0.5272727272727272,2,0.9090909090909091,0.2409090909090909,0.65,0.5884346503186917,0.155,0.605,0.5739733285812705,0.11690909090909091,0.5851703406813628,0.5561700705155194,86,28,90,20,177,46,177,46,405,190,404,192
2023,isotonic_raw_z,z_raw,isotonic,0.6935280916158381,0.2501064957125722,0.5180587814852048,0.028770294441855103,-0.005750742324319063,15,0.6,0.14545454545454545,5,0.4,-0.2363636363636364,27,0.3434343434343433,19,0.20574162679425836,0.08818181818181817,0.57,0.6280171819214536,0.23136363636363633,0.645,0.5958267727789086,0.07872727272727273,0.5651302605210421,0.5742525494663306,48,104,48,104,156,88,154,92,361,278,361,278
2023,logistic_best_posthoc_z,z_best,logistic,0.692156784629041,0.24951721943685043,0.5168497515157294,0.01774056512958002,-0.006959772293794447,0,,,0,,,9,0.2727272727272727,2,0.9090909090909091,0.29818181818181816,0.68,0.5926435547259783,0.18363636363636363,0.62,0.5764102295284681,0.11309090909090909,0.5831663326653307,0.5573152063812064,84,32,92,16,173,54,176,48,397,206,402,196
2023,isotonic_best_posthoc_z,z_best,isotonic,0.6933479648222558,0.2499812746826753,0.5173292721316908,0.030931309680041118,-0.006480251677833101,12,0.6666666666666666,0.2727272727272727,9,0.6666666666666666,0.2727272727272727,33,0.3305785123966941,24,0.2727272727272727,0.25999999999999995,0.66,0.6447758131577332,0.24590909090909085,0.6532663316582915,0.6080429485956734,0.040545454545454544,0.5450901803607214,0.5797689827169578,89,22,89,22,159,82,164,72,343,314,348,304
2024,raw_mlp_normal,z_raw,normal,0.7206093490531114,0.2615881122123564,0.5868253829596645,0.07382291959512066,0.0630158591501406,98,0.4489795918367347,-0.14285714285714288,49,0.5306122448979592,0.012987012987012983,1290,-0.029175475687103585,615,-0.015964523281596456,-0.12181818181818184,0.46,0.861143447486002,-0.0168181818181818,0.515,0.8173508034984411,-0.030181818181818174,0.508,0.7550522413912586,100,0,98,4,200,0,196,8,500,0,494,12
2024,best_posthoc_normal,z_best,normal,0.7210436072645171,0.2617240532146364,0.587080772007219,0.07420622149354095,0.06327124819769513,103,0.46601941747572817,-0.1103265666372463,50,0.54,0.030909090909090903,1292,-0.0292006754855052,618,-0.017652250661959402,-0.12181818181818181,0.46,0.8633494472470578,-0.045454545454545456,0.5,0.8197370556230621,-0.030181818181818174,0.508,0.7565546672475753,98,4,100,0,196,8,200,0,494,12,500,0
2024,constant14_normal,z_const14,normal,0.71195856503939,0.25796073587659185,0.5700378962412617,0.06413555092315461,0.04622837243173784,70,0.5142857142857142,-0.018181818181818177,30,0.5666666666666667,0.08181818181818182,802,-0.03831330763999092,347,-0.05920880272465286,-0.06454545454545454,0.49,0.8329696587299451,-0.08363636363636363,0.48,0.7866702191656663,-0.030181818181818174,0.508,0.7200683141554568,75,50,76,48,161,78,162,76,420,160,424,152
2024,logistic_raw_z,z_raw,logistic,0.6938065865079374,0.25032580057687875,0.5182129965565242,0.01690313376012933,-0.005596527252999608,0,,,0,,,7,0.36363636363636365,2,-0.04545454545454547,-0.14090909090909093,0.45,0.5892389071351142,-0.007272727272727254,0.52,0.5745865737626616,-0.022545454545454546,0.512,0.5569924206692135,99,2,98,4,194,12,195,10,487,26,485,30
2024,isotonic_raw_z,z_raw,isotonic,0.6943788690319314,0.25058360791954526,0.5174239747391037,0.026859385244722877,-0.006385549070420085,0,,,0,,,23,0.16205533596837943,23,0.16205533596837943,-0.12181818181818181,0.46,0.6301546014930458,-0.12181818181818181,0.46,0.6088360114538139,-0.041636363636363624,0.502,0.5779972209176475,98,4,96,8,162,76,159,82,353,294,351,298
2024,logistic_best_posthoc_z,z_best,logistic,0.6938309065013883,0.2503375129797838,0.518208288643543,0.016966619631494657,-0.0056012351659809004,0,,,0,,,7,0.36363636363636365,2,-0.04545454545454547,-0.14090909090909093,0.45,0.5896755580444419,-0.016818181818181812,0.515,0.5750077229019162,-0.018727272727272728,0.514,0.5571838215590872,97,6,99,2,191,18,195,10,481,38,484,32
2024,isotonic_best_posthoc_z,z_best,isotonic,0.6955511113229859,0.2508066326885493,0.5163243835325054,0.029370882641592603,-0.00748514027701841,16,0.5,-0.045454545454545456,1,0.0,-1.0,21,0.1818181818181818,21,0.1818181818181818,-0.10272727272727275,0.47,0.6558254037812634,-0.10272727272727274,0.47,0.6194248587833604,-0.014909090909090893,0.516,0.5794189032851964,97,6,98,4,163,74,160,80,364,272,364,272
2025,raw_mlp_normal,z_raw,normal,0.7140696503497036,0.25930187594219656,0.5766357376481874,0.06343360873062862,0.052826213838663656,49,0.3877551020408163,-0.2597402597402597,19,0.47368421052631576,-0.0956937799043062,1032,-0.002906976744186038,423,-0.02965828497743391,-0.16000000000000003,0.44,0.8117699206628334,-0.08363636363636363,0.48,0.773295508961961,-0.018727272727272724,0.514,0.7210708460481386,100,0,99,2,200,0,197,6,500,0,489,22
2025,best_posthoc_normal,z_best,normal,0.7142366522775928,0.2593649129180966,0.5768940326926288,0.06373304783655749,0.05308450888310507,50,0.38,-0.27454545454545454,19,0.47368421052631576,-0.0956937799043062,1040,-0.0013986013986013956,431,-0.02552204176334106,-0.14090909090909093,0.45,0.8123175076960729,-0.09318181818181817,0.475,0.7742307698491886,-0.026363636363636356,0.51,0.7220762712138143,99,2,100,0,197,6,200,0,489,22,500,0
2025,constant14_normal,z_const14,normal,0.7105517600588789,0.257770265281981,0.5683347764114159,0.058961852864300834,0.04452525260189215,30,0.36666666666666664,-0.30000000000000004,12,0.3333333333333333,-0.3636363636363636,784,-0.023538961038961036,335,-0.008412483039348707,-0.15999999999999998,0.44,0.7934942085602866,-0.08363636363636363,0.48,0.7565061060758259,-0.02254545454545453,0.512,0.7060884471239474,75,50,76,48,155,90,157,86,413,174,419,162
2025,logistic_raw_z,z_raw,logistic,0.6935698087416855,0.2502099466269968,0.5129715797903194,0.011387629891530256,-0.010837944019204421,0,,,0,,,1,0.9090909090909091,0,,-0.1409090909090909,0.45,0.5589483554693903,-0.09318181818181819,0.475,0.5500369321770336,-0.018727272727272728,0.514,0.539137448588484,99,2,99,2,198,4,196,8,496,8,487,26
2025,isotonic_raw_z,z_raw,isotonic,0.6938130766509019,0.25032104221527435,0.512524424147145,0.016380695021145135,-0.01128509966237873,0,,,0,,,6,-0.6818181818181818,6,-0.6818181818181818,-0.12181818181818181,0.46,0.5685735675579575,-0.05499999999999998,0.495,0.5605916616145136,-0.007272727272727262,0.52,0.5486002595684935,18,164,18,164,101,198,101,198,430,140,427,146
2025,logistic_best_posthoc_z,z_best,logistic,0.6935857761315718,0.25021782104990364,0.5132024512971584,0.011606299969741237,-0.010607072512365591,0,,,0,,,1,0.9090909090909091,0,,-0.1409090909090909,0.45,0.5598872570452168,-0.09318181818181819,0.475,0.5509259205895374,-0.0072727272727272805,0.52,0.5398832002751375,98,4,99,2,195,10,196,8,487,26,488,24
2025,isotonic_best_posthoc_z,z_best,isotonic,0.6935935102266848,0.25021772413375165,0.5112791733658837,0.016735819254733584,-0.01253035044364015,0,,,0,,,4,-0.5227272727272727,2,-0.04545454545454547,-0.16,0.44,0.5651588733752747,-0.06454545454545454,0.49,0.5595122630501216,-0.011090909090909087,0.518,0.5480492556995684,66,68,66,68,109,182,109,182,440,120,441,118
