variant,scope,bucket,n,mean_market_margin,mean_model_margin,mean_actual_margin,model_minus_market,actual_minus_model,actual_minus_market,mae_model,mae_market
isotonic_tail10,dec15,5-10,2856,7.108018207282913,6.581397757990638,7.141806722689076,-0.5266204492922747,0.5604089646984374,0.03378851540616246,9.023652180211727,8.7718837535014
isotonic_tail10,dec15,10-15,1181,11.994496189669771,11.16831616184282,12.056731583403895,-0.8261800278269507,0.8884154215610743,0.06223539373412362,8.640498057099226,8.405165114309908
isotonic_tail10,dec15,15+,629,20.10810810810811,19.090074119595265,20.36724960254372,-1.0180339885128433,1.2771754829484552,0.2591414944356121,9.483533066232884,9.147853736089031
isotonic_tail8,pooled,<5,5031,2.7413039157225203,2.132756422149509,2.002186444046909,-0.6085474935730113,-0.13056997810259988,-0.7391174716756113,8.920976287999773,8.747465712581992
isotonic_tail8,pooled,5-10,3835,7.102737940026076,6.434434168687646,6.8946544980443285,-0.6683037713384296,0.46022032935668244,-0.20808344198174705,9.050090834541539,8.876662320730118
isotonic_tail8,pooled,10-15,1654,12.034461910519951,11.105824266112046,11.652962515114874,-0.9286376444079041,0.5471382490028255,-0.3814993954050786,8.793341072391591,8.605804111245465
isotonic_tail8,pooled,15+,1233,21.376723438767236,20.61625930523596,21.386861313868614,-0.7604641335312713,0.77060200863265,0.01013787510137875,9.958161918934408,9.599756690997568
isotonic_tail8,dec15,<5,3769,2.7356062616078534,2.231074467757566,2.0750862297691697,-0.5045317938502877,-0.1559882379883963,-0.660520031838684,8.793580990380091,8.574024940302467
isotonic_tail8,dec15,5-10,2856,7.108018207282913,6.631512921513161,7.141806722689076,-0.4765052857697519,0.5102938011759144,0.03378851540616246,9.031100657776776,8.7718837535014
isotonic_tail8,dec15,10-15,1181,11.994496189669771,11.250050339019682,12.056731583403895,-0.7444458506500901,0.8066812443842137,0.06223539373412362,8.632776581904023,8.405165114309908
isotonic_tail8,dec15,15+,629,20.10810810810811,19.098521732572493,20.36724960254372,-1.0095863755356125,1.2687278699712248,0.2591414944356121,9.479632639419249,9.147853736089031
slope_tail10,pooled,<5,5031,2.7413039157225203,2.1289225532961567,2.002186444046909,-0.6123813624263633,-0.12673610924924789,-0.7391174716756113,8.917394539558572,8.747465712581992
slope_tail10,pooled,5-10,3835,7.102737940026076,6.376468329664676,6.8946544980443285,-0.7262696103613993,0.5181861683796523,-0.20808344198174705,9.042555120996642,8.876662320730118
slope_tail10,pooled,10-15,1654,12.034461910519951,11.089410163166285,11.652962515114874,-0.9450517473536677,0.5635523519485891,-0.3814993954050786,8.846215315626727,8.605804111245465
slope_tail10,pooled,15+,1233,21.376723438767236,21.108402218157387,21.386861313868614,-0.2683212206098455,0.27845909571122424,0.01013787510137875,9.918909088997955,9.599756690997568
slope_tail10,dec15,<5,3769,2.7356062616078534,2.2276574364880513,2.0750862297691697,-0.5079488251198027,-0.15257120671888136,-0.660520031838684,8.791042478120666,8.574024940302467
slope_tail10,dec15,5-10,2856,7.108018207282913,6.569671942267551,7.141806722689076,-0.5383462650153631,0.5721347804215255,0.03378851540616246,9.01884248320003,8.7718837535014
slope_tail10,dec15,10-15,1181,11.994496189669771,11.230385637986126,12.056731583403895,-0.7641105516836456,0.8263459454177692,0.06223539373412362,8.68423488419396,8.405165114309908
slope_tail10,dec15,15+,629,20.10810810810811,19.645205736579417,20.36724960254372,-0.46290237152869046,0.7220438659643025,0.2591414944356121,9.455221211921824,9.147853736089031
slope_tail8,pooled,<5,5031,2.7413039157225203,2.133194128037181,2.002186444046909,-0.6081097876853395,-0.1310076839902717,-0.7391174716756113,8.920558546581782,8.747465712581992
slope_tail8,pooled,5-10,3835,7.102737940026076,6.477172551645361,6.8946544980443285,-0.6255653883807161,0.417481946398969,-0.20808344198174705,9.061934749188778,8.876662320730118
slope_tail8,pooled,10-15,1654,12.034461910519951,11.45063789581409,11.652962515114874,-0.583824014705861,0.2023246193007823,-0.3814993954050786,8.871434764692074,8.605804111245465
slope_tail8,pooled,15+,1233,21.376723438767236,21.281795306007197,21.386861313868614,-0.09492813276003458,0.10506600786141332,0.01013787510137875,9.894771273652005,9.599756690997568
slope_tail8,dec15,<5,3769,2.7356062616078534,2.2313718109575817,2.0750862297691697,-0.5042344506502716,-0.15628558118841238,-0.660520031838684,8.792872755018694,8.574024940302467
slope_tail8,dec15,5-10,2856,7.108018207282913,6.6741840390790275,7.141806722689076,-0.4338341682038858,0.46762268361004833,0.03378851540616246,9.041248546235563,8.7718837535014
slope_tail8,dec15,10-15,1181,11.994496189669771,11.603143490379617,12.056731583403895,-0.39135269929015487,0.45358809302427844,0.06223539373412362,8.701354350853773,8.405165114309908
slope_tail8,dec15,15+,629,20.10810810810811,19.87864630120927,20.36724960254372,-0.2294618068988377,0.48860330133444985,0.2591414944356121,9.430585304632501,9.147853736089031
