season,option,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
2020,const,edge,"[0.08, 0.1)",325,0.6133532744777865,0.5,-0.044755244755244755
2020,const,edge,"[0.1, 0.15)",442,0.6447261166598738,0.5138248847926268,-0.01871657754010694
2020,const,edge,"[0.15, 1.0)",359,0.746954156806168,0.56657223796034,0.08027348695872373
2020,cap,probability,"[0.5, 0.55)",2936,0.523800764001625,0.48772900103698585,-0.0678721823135992
2020,cap,probability,"[0.55, 0.6)",1514,0.571372962481236,0.49866131191432395,-0.047376005764380925
2020,cap,probability,"[0.6, 0.65)",530,0.6205444585507089,0.525,0.0022298456260720374
2020,cap,probability,"[0.65, 0.7)",192,0.6688448565815747,0.5185185185185185,-0.009943181818181815
2020,cap,probability,"[0.7, 0.75)",71,0.7214744096694345,0.5,-0.044814340588988436
2020,cap,probability,"[0.75, 0.8)",37,0.7687994670123749,0.5675675675675675,0.08353808353808355
2020,cap,probability,"[0.8, 0.85)",15,0.8234927098894381,0.8461538461538461,0.5333333333333333
2020,cap,probability,"[0.85, 1.01)",29,0.9181183273694258,0.7931034482758621,0.5141065830721001
2020,cap,edge,"[0.0, 0.02)",1109,0.5337024314663945,0.49039341262580055,-0.06287400606607098
2020,cap,edge,"[0.02, 0.04)",854,0.5530425378014331,0.49049881235154397,-0.06269959548648073
2020,cap,edge,"[0.04, 0.06)",633,0.5732863369071529,0.4967845659163987,-0.05069653884819761
2020,cap,edge,"[0.06, 0.08)",399,0.5933212748301271,0.4949238578680203,-0.054454317612212345
2020,cap,edge,"[0.08, 0.1)",271,0.6132172798331915,0.5018867924528302,-0.040925863804092584
2020,cap,edge,"[0.1, 0.15)",334,0.6463168548617366,0.5288753799392097,0.009526401741970603
2020,cap,edge,"[0.15, 1.0)",208,0.7556296371725532,0.5902439024390244,0.12499999999999999
2020,scale,probability,"[0.5, 0.55)",3537,0.5224919709893506,0.4896670493685419,-0.06420438481507183
2020,scale,probability,"[0.55, 0.6)",1323,0.5700312888006792,0.5084226646248086,-0.028997457568886137
2020,scale,probability,"[0.6, 0.65)",287,0.6194416941455706,0.5425531914893617,0.03515996198923029
2020,scale,probability,"[0.65, 0.7)",94,0.6682417189963736,0.45652173913043476,-0.12572533849129594
2020,scale,probability,"[0.7, 0.75)",35,0.7251268830457223,0.5294117647058824,0.010389610389610386
2020,scale,probability,"[0.75, 0.8)",19,0.7718104667371815,0.5789473684210527,0.10526315789473682
2020,scale,probability,"[0.8, 0.85)",15,0.820011174336417,0.8571428571428571,0.5939393939393939
2020,scale,probability,"[0.85, 1.01)",14,0.9108188994591311,0.7857142857142857,0.5
2020,scale,edge,"[0.0, 0.02)",1293,0.5331246745877319,0.48860958366064416,-0.06616044435069957
2020,scale,edge,"[0.02, 0.04)",817,0.5530156867346935,0.5204968944099378,-0.006231222877489704
2020,scale,edge,"[0.04, 0.06)",565,0.5729725361531713,0.49730700179533216,-0.049879324215607396
2020,scale,edge,"[0.06, 0.08)",289,0.5930734035147028,0.5156794425087108,-0.015413652091852786
2020,scale,edge,"[0.08, 0.1)",142,0.6132490853133985,0.5467625899280576,0.04289372599231756
2020,scale,edge,"[0.1, 0.15)",164,0.6455894260935786,0.5031055900621118,-0.038802660753880266
2020,scale,edge,"[0.15, 1.0)",113,0.757974626148277,0.5818181818181818,0.10780370072405472
2020,affine,probability,"[0.5, 0.55)",3767,0.5218591624814143,0.4908355795148248,-0.06199773149600597
2020,affine,probability,"[0.55, 0.6)",1213,0.5687065442321139,0.5146198830409356,-0.017312448474855725
2020,affine,probability,"[0.6, 0.65)",219,0.6207945378106156,0.5138888888888888,-0.018679950186799493
