season,group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
2023,overlap,core_strategy,march_only,13,5,8,0,0.38461538461538464,-0.26573426573426573,0.9004885195335013,0.1346413806672841,0.6356607975380738,3.397560648800253,0.15384615384615385,0.15384615384615385,0.6923076923076923
2023,overlap,core_strategy,conference_tournaments,9,3,6,0,0.3333333333333333,-0.3636363636363636,0.9314347625444898,0.11486673887537588,0.6538656266049698,3.2364362529362793,0.2222222222222222,0.1111111111111111,1.0
2023,overlap,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2024,overlap,core_strategy,full,263,148,115,0,0.5627376425855514,0.07431731766332528,0.11450246163728448,0.15554954566257673,0.6117934206105539,5.580910992631052,0.08745247148288973,0.45627376425855515,0.12167300380228137
2024,overlap,core_strategy,feb15_plus,22,12,10,0,0.5454545454545454,0.04132231404958676,0.5054166010423131,0.12375392957210125,0.5965841035929077,4.895751059983005,0.13636363636363635,0.45454545454545453,0.36363636363636365
2024,overlap,core_strategy,march_only,9,6,3,0,0.6666666666666666,0.2727272727272727,0.30293495048344043,0.1325049905662179,0.6011364377964377,3.8615376957172365,0.3333333333333333,0.4444444444444444,0.8888888888888888
2024,overlap,core_strategy,conference_tournaments,8,5,3,0,0.625,0.19318181818181815,0.4164825089147759,0.13164415047571865,0.5997880821822646,3.5553515307430463,0.375,0.375,1.0
2024,overlap,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2025,overlap,core_strategy,full,281,169,112,0,0.6014234875444839,0.14817211258492397,0.005312570085817763,0.15707197925345057,0.616537859635058,5.96833905575539,0.1103202846975089,0.3879003558718861,0.11743772241992882
2025,overlap,core_strategy,feb15_plus,17,8,9,0,0.47058823529411764,-0.10160427807486633,0.7524686594784131,0.16626282462037054,0.5927103096975164,5.420420609056026,0.0,0.5294117647058824,0.11764705882352941
2025,overlap,core_strategy,march_only,5,2,3,0,0.4,-0.23636363636363633,0.8408462474360943,0.18622285425743795,0.5922685659645778,4.560337927114484,0.0,0.4,0.4
2025,overlap,core_strategy,conference_tournaments,3,2,1,0,0.6666666666666666,0.2727272727272727,0.5356872907893316,0.17153987682187846,0.5924853398981479,4.650274899927457,0.0,0.3333333333333333,0.6666666666666666
2025,overlap,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2020,filter_only,core_strategy,full,249,131,118,0,0.5261044176706827,0.004381161007667035,0.4967878971352562,0.03106379352082767,0.6053038184261337,5.832601959647595,0.008032128514056224,0.40963855421686746,0.12048192771084337
2020,filter_only,core_strategy,feb15_plus,70,40,30,0,0.5714285714285714,0.0909090909090909,0.24933816311533766,0.030477095672718096,0.5961963877602526,4.178079156667377,0.0,0.37142857142857144,0.12857142857142856
2020,filter_only,core_strategy,march_only,22,16,6,0,0.7272727272727273,0.3884297520661157,0.04301449337543696,0.030458297038697645,0.5964921026677558,4.268474949822649,0.0,0.5909090909090909,0.4090909090909091
2020,filter_only,core_strategy,conference_tournaments,11,8,3,0,0.7272727272727273,0.3884297520661157,0.14695878542737367,0.03612174754393189,0.5988000355211326,3.7112443184577915,0.0,0.8181818181818182,0.8181818181818182
2020,filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2022,filter_only,core_strategy,full,233,142,91,0,0.6094420600858369,0.16348029652750684,0.005194899720663566,0.03943215250680207,0.5993975171627662,6.332558283750632,0.04291845493562232,0.5321888412017167,0.296137339055794
2022,filter_only,core_strategy,feb15_plus,46,27,19,0,0.5869565217391305,0.12055335968379444,0.23945173062777844,0.04018298682026452,0.5933181184807966,4.811557858255218,0.021739130434782608,0.5652173913043478,0.43478260869565216
2022,filter_only,core_strategy,march_only,28,17,11,0,0.6071428571428571,0.15909090909090912,0.24480319043889814,0.037178658477566864,0.5967141119940538,4.462155641828576,0.03571428571428571,0.5714285714285714,0.7142857142857143
2022,filter_only,core_strategy,conference_tournaments,19,14,5,0,0.7368421052631579,0.4066985645933013,0.04964859328566504,0.03854052085262946,0.5992322346144142,3.92019584398722,0.05263157894736842,0.5263157894736842,1.0
2022,filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2023,filter_only,core_strategy,full,283,166,117,0,0.5865724381625441,0.11982010921940249,0.019718303295061055,0.03730023172563911,0.6072477543117336,6.296439491143032,0.08480565371024736,0.31802120141342755,0.1696113074204947
2023,filter_only,core_strategy,feb15_plus,25,14,11,0,0.56,0.06909090909090908,0.4370791339679941,0.04463908614887582,0.6224184690047411,4.6595382606419955,0.12,0.44,0.52
2023,filter_only,core_strategy,march_only,17,9,8,0,0.5294117647058824,0.010695187165775366,0.5790090239051432,0.04275830780300466,0.6352873107754765,4.177825752320166,0.17647058823529413,0.47058823529411764,0.7647058823529411
2023,filter_only,core_strategy,conference_tournaments,13,8,5,0,0.6153846153846154,0.17482517482517482,0.3530298920834771,0.039541314888316026,0.6498167960196011,3.8538746533802177,0.23076923076923078,0.3076923076923077,1.0
2023,filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2024,filter_only,core_strategy,full,189,117,72,0,0.6190476190476191,0.1818181818181818,0.005210353324919967,0.033893973118379314,0.603060200545563,6.792300441933963,0.08994708994708994,0.5291005291005291,0.15343915343915343
2024,filter_only,core_strategy,feb15_plus,6,3,3,0,0.5,-0.045454545454545435,0.6997648990094819,0.02133734315134937,0.5930410882986055,4.482645087266193,0.3333333333333333,0.5,0.16666666666666666
2024,filter_only,core_strategy,march_only,2,1,1,0,0.5,-0.04545454545454547,0.7732426303854876,0.013453882511921367,0.613557715458565,1.7790648342836093,1.0,0.0,0.5
2024,filter_only,core_strategy,conference_tournaments,2,1,1,0,0.5,-0.04545454545454547,0.7732426303854876,0.013453882511921367,0.613557715458565,1.7790648342836093,1.0,0.0,0.5
2024,filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2025,filter_only,core_strategy,full,235,144,91,0,0.6127659574468085,0.169825918762089,0.003709184590167435,0.03233109917321609,0.6093455509553733,6.753961729501014,0.10212765957446808,0.4595744680851064,0.15319148936170213
2025,filter_only,core_strategy,feb15_plus,24,14,10,0,0.5833333333333334,0.1136363636363636,0.353656315295846,0.035115356125468865,0.5980092145535839,5.304116798253055,0.16666666666666666,0.5416666666666666,0.3333333333333333
2025,filter_only,core_strategy,march_only,17,10,7,0,0.5882352941176471,0.12299465240641708,0.3882034247745463,0.034665911277605085,0.6000178411424881,4.752150116311249,0.23529411764705882,0.35294117647058826,0.47058823529411764
2025,filter_only,core_strategy,conference_tournaments,10,7,3,0,0.7,0.3363636363636363,0.21371901171596258,0.03087310605976821,0.6043667821676627,4.095051740126053,0.4,0.2,0.8
2025,filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2020,raw_only,core_strategy,full,1173,607,566,0,0.5174765558397272,-0.012090211578702619,0.6786256101144279,0.13519895478849112,0.5108698219337351,2.0910084195279426,0.07757885763000852,0.30605285592497866,0.09121909633418585
