group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
filter_only,core_strategy,feb15_plus,171,98,73,0,0.5730994152046783,0.09409888357256775,0.11220924561234383,0.03548879444715602,0.599399473669769,4.58760428446887,0.05847953216374269,0.4619883040935672,0.2982456140350877
filter_only,core_strategy,march_only,86,53,33,0,0.6162790697674418,0.17653276955602532,0.05322819970879991,0.03551400536764451,0.6053270280005425,4.35133170119302,0.11627906976744186,0.5,0.5930232558139535
filter_only,core_strategy,conference_tournaments,55,38,17,0,0.6909090909090909,0.31900826446280994,0.008816021065145192,0.035987000697324426,0.6125566263500892,3.816662292773881,0.18181818181818182,0.45454545454545453,0.9090909090909091
filter_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
raw_only,core_strategy,full,5994,3035,2959,0,0.5063396730063396,-0.03335153335153334,0.9967358683271673,0.13049146591215954,0.5139781487283017,2.0425677085501497,0.0652318985652319,0.3213213213213213,0.11294627961294627
raw_only,core_strategy,feb15_plus,1340,645,695,0,0.48134328358208955,-0.08107191316146539,0.9991489140580289,0.12633829019446152,0.5144911127720103,1.841750517626502,0.016417910447761194,0.41940298507462687,0.21119402985074626
raw_only,core_strategy,march_only,615,294,321,0,0.47804878048780486,-0.08736141906873612,0.9895886779606514,0.1257019277693816,0.5150690507486682,1.7574237713039107,0.013008130081300813,0.4211382113821138,0.4585365853658537
raw_only,core_strategy,conference_tournaments,246,125,121,0,0.508130081300813,-0.029933481152993338,0.7111692852553793,0.12000723959183009,0.5205408339645463,1.5662895498096323,0.0,0.44715447154471544,0.8861788617886179
raw_only,core_strategy,ncaa_tournament,55,23,32,0,0.41818181818181815,-0.20165289256198352,0.9558362742750753,0.1341536050242869,0.5149216073937228,2.2627525330222826,0.05454545454545454,0.41818181818181815,1.0
ncaa_caution,core_strategy,full,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
ncaa_caution,core_strategy,feb15_plus,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
ncaa_caution,core_strategy,march_only,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
ncaa_caution,core_strategy,conference_tournaments,0,0,0,0,,,,,,,,,
ncaa_caution,core_strategy,ncaa_tournament,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
disagreement_led,disagreement_subgroup,full,1189,700,489,0,0.5887300252312868,0.12393913907791117,3.949026169694628e-06,0.034888402795800084,0.6050512776575918,6.375628371756,0.06476030277544155,0.44070647603027757,0.17830109335576114
disagreement_led,disagreement_subgroup,feb15_plus,171,98,73,0,0.5730994152046783,0.09409888357256775,0.11220924561234383,0.03548879444715602,0.599399473669769,4.58760428446887,0.05847953216374269,0.4619883040935672,0.2982456140350877
disagreement_led,disagreement_subgroup,march_only,86,53,33,0,0.6162790697674418,0.17653276955602532,0.05322819970879991,0.03551400536764451,0.6053270280005425,4.35133170119302,0.11627906976744186,0.5,0.5930232558139535
