group,slice,season_count_with_bets,profitable_seasons,losing_seasons,breakeven_or_better_seasons,median_season_roi,mean_season_roi,season_roi_std,min_season_roi,max_season_roi,median_season_hit_rate,median_bets_per_season
non_neutral_internal_filter,feb15_plus,5,3,2,3,0.029411764705882363,0.03303525251883295,0.08887255363853773,-0.09569377990430625,0.17008797653958943,0.5392156862745098,31.0
non_neutral_internal_filter,full,5,5,0,5,0.11811206696117184,0.111786434030412,0.03300335835631665,0.048902821316614414,0.14460036607687615,0.5856777493606138,447.0
non_neutral_internal_filter,march_only,5,2,3,2,-0.04545454545454542,-0.02440711462450591,0.15256980994766342,-0.28409090909090906,0.16205533596837945,0.5,12.0
non_neutral_internal_filter,ncaa_tournament,0,0,0,0,,,,,,,
overlap,conference_tournaments,5,3,2,3,0.19318181818181815,-0.013636363636363646,0.2872461149928966,-0.3636363636363636,0.2727272727272727,0.625,8.0
overlap,feb15_plus,5,4,1,4,0.04132231404958676,0.0520694813208182,0.10180213216706756,-0.10160427807486633,0.21153846153846148,0.5454545454545454,28.0
overlap,full,5,5,0,5,0.14817211258492397,0.1478552005889152,0.043587107803279956,0.07431731766332528,0.20909090909090908,0.6014234875444839,281.0
overlap,march_only,5,2,3,2,-0.04545454545454545,0.008357849047504206,0.2460992370407674,-0.26573426573426573,0.31661442006269586,0.5,13.0
overlap,ncaa_tournament,0,0,0,0,,,,,,,
persistent_disagreement,conference_tournaments,5,3,2,3,0.018181818181818195,0.014545454545454545,0.2130921501670343,-0.3636363636363636,0.2727272727272727,0.5333333333333333,5.0
persistent_disagreement,feb15_plus,5,3,2,3,0.09671179883945841,0.1078314676562486,0.1763028092608644,-0.11888111888111888,0.34759358288770054,0.574468085106383,22.0
persistent_disagreement,full,5,5,0,5,0.07331378299120234,0.09415015269302454,0.06025424261431279,0.015289256198347118,0.1953316953316953,0.5622119815668203,220.0
persistent_disagreement,march_only,5,2,3,2,-0.04545454545454547,0.0063636363636363465,0.07439008198355922,-0.045454545454545484,0.14545454545454545,0.5,10.0
persistent_disagreement,ncaa_tournament,0,0,0,0,,,,,,,
promoted_internal_filter,conference_tournaments,5,4,1,4,0.14545454545454542,0.16643988022920989,0.13113965476491043,-0.04545454545454546,0.32167832167832167,0.6,17.0
promoted_internal_filter,feb15_plus,5,5,0,5,0.0624505928853755,0.07180335481161829,0.05335920698006278,0.022727272727272728,0.16883116883116883,0.5565217391304348,53.0
promoted_internal_filter,full,5,5,0,5,0.13230900554844216,0.13705220428912251,0.02113076992438035,0.11087756174461379,0.1647727272727273,0.593114241001565,519.0
promoted_internal_filter,march_only,5,4,1,4,0.21487603305785122,0.12120777149485282,0.13551629478405733,-0.1090909090909091,0.23923444976076555,0.6363636363636364,30.0
promoted_internal_filter,ncaa_tournament,0,0,0,0,,,,,,,
raw_edge_baseline,conference_tournaments,5,3,2,3,0.027972027972027965,-0.03762112313714401,0.10891149295454455,-0.22443181818181818,0.06408345752608047,0.5384615384615384,61.0
raw_edge_baseline,feb15_plus,5,0,5,0,-0.056084227576432465,-0.06698186572820478,0.05249780377602428,-0.14252696456086286,-0.008167613636363612,0.49443207126948774,266.0
raw_edge_baseline,full,5,3,2,3,0.029295029295029307,0.006021596790691278,0.04003778303419254,-0.0587121212121212,0.04109425397204636,0.5391545391545391,1522.0
raw_edge_baseline,march_only,5,2,3,2,-0.06685690990623724,-0.07918154292338948,0.11493638728523313,-0.2412587412587412,0.06779661016949151,0.48878923766816146,122.0
