option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
best_posthoc_sigma,2022,edge,"[0.02, 0.04)",844,0.5537480283961251,0.5036585365853659,-0.03737613097802671
best_posthoc_sigma,2022,edge,"[0.04, 0.06)",696,0.5732962298801515,0.516320474777448,-0.013845350052246602
best_posthoc_sigma,2022,edge,"[0.06, 0.08)",470,0.5935480726629666,0.5307017543859649,0.012765957446808519
best_posthoc_sigma,2022,edge,"[0.08, 0.1)",368,0.6127507744706935,0.5220994475138122,-0.0032114624505928837
best_posthoc_sigma,2022,edge,"[0.1, 0.15)",516,0.6450678176520017,0.5405940594059406,0.03136011275546159
best_posthoc_sigma,2022,edge,"[0.15, 1.0)",431,0.763427951337372,0.6052009456264775,0.1524994726850875
constant_14_sigma,2022,probability,"[0.5, 0.55)",2502,0.5236598520474133,0.5045118949958983,-0.03589855388416539
constant_14_sigma,2022,probability,"[0.55, 0.6)",1668,0.5714279965430609,0.5204460966542751,-0.006213211249182465
constant_14_sigma,2022,probability,"[0.6, 0.65)",735,0.6211805662627659,0.5303867403314917,0.01236858379715523
constant_14_sigma,2022,probability,"[0.65, 0.7)",267,0.6705906078157802,0.5653846153846154,0.0772897514470548
constant_14_sigma,2022,probability,"[0.7, 0.75)",115,0.7234067115680142,0.5135135135135135,-0.018972332015810268
constant_14_sigma,2022,probability,"[0.75, 0.8)",63,0.7718378312457929,0.5967741935483871,0.13708513708513703
constant_14_sigma,2022,probability,"[0.8, 0.85)",48,0.8233381926827135,0.6666666666666666,0.27272727272727265
constant_14_sigma,2022,probability,"[0.85, 1.01)",65,0.9130024952221768,0.7538461538461538,0.4391608391608392
constant_14_sigma,2022,edge,"[0.0, 0.02)",936,0.5340511431599951,0.5373626373626373,0.02515540015540016
constant_14_sigma,2022,edge,"[0.02, 0.04)",867,0.5540258879246494,0.48812351543942994,-0.06616336374121841
constant_14_sigma,2022,edge,"[0.04, 0.06)",667,0.5732174448656148,0.5239567233384853,0.0002725909772386638
constant_14_sigma,2022,edge,"[0.06, 0.08)",493,0.5939412657728006,0.5336134453781513,0.018071178314586024
constant_14_sigma,2022,edge,"[0.08, 0.1)",320,0.6132055554569399,0.5222929936305732,-0.0028409090909090827
constant_14_sigma,2022,edge,"[0.1, 0.15)",471,0.6450130627316076,0.5399568034557235,0.03030303030303031
constant_14_sigma,2022,edge,"[0.15, 1.0)",393,0.7650384137377674,0.6191709844559585,0.17881101087207957
hgbr_residual_log_scalar,2022,probability,"[0.5, 0.55)",3216,0.5234926568318072,0.5051085568326947,-0.03476933514246946
hgbr_residual_log_scalar,2022,probability,"[0.55, 0.6)",1483,0.5700706902844958,0.5263888888888889,0.004781462637160544
hgbr_residual_log_scalar,2022,probability,"[0.6, 0.65)",463,0.6190316819622358,0.5616740088105727,0.07088160219909678
hgbr_residual_log_scalar,2022,probability,"[0.65, 0.7)",140,0.6723673700483662,0.5294117647058824,0.010389610389610381
hgbr_residual_log_scalar,2022,probability,"[0.7, 0.75)",68,0.7240400766868389,0.6119402985074627,0.16577540106951869
hgbr_residual_log_scalar,2022,probability,"[0.75, 0.8)",41,0.7725567783680989,0.7317073170731707,0.3968957871396895
hgbr_residual_log_scalar,2022,probability,"[0.8, 0.85)",25,0.8241665314307951,0.68,0.2981818181818181
hgbr_residual_log_scalar,2022,probability,"[0.85, 1.01)",27,0.901563704372034,0.7777777777777778,0.48484848484848475
hgbr_residual_log_scalar,2022,edge,"[0.0, 0.02)",1208,0.5338800422608534,0.5238500851788757,7.525586995786474e-05
hgbr_residual_log_scalar,2022,edge,"[0.02, 0.04)",913,0.5529627187399545,0.5113122171945701,-0.023100667131335254
hgbr_residual_log_scalar,2022,edge,"[0.04, 0.06)",593,0.5729205556732859,0.5424610051993067,0.03464663498390311
hgbr_residual_log_scalar,2022,edge,"[0.06, 0.08)",362,0.5925641504872984,0.5168539325842697,-0.013058764439979893
hgbr_residual_log_scalar,2022,edge,"[0.08, 0.1)",242,0.6122314110819155,0.5611814345991561,0.06987227648384672
hgbr_residual_log_scalar,2022,edge,"[0.1, 0.15)",244,0.6437468280789034,0.5714285714285714,0.0886736214605067
hgbr_residual_log_scalar,2022,edge,"[0.15, 1.0)",221,0.7558406829346088,0.6255707762557078,0.1925133689839572
hgbr_residual_log_affine,2022,probability,"[0.5, 0.55)",3507,0.5231403402396513,0.5087976539589443,-0.027866345231614686
hgbr_residual_log_affine,2022,probability,"[0.55, 0.6)",1378,0.5700863084220104,0.5278810408921933,0.007586752869771732
hgbr_residual_log_affine,2022,probability,"[0.6, 0.65)",334,0.6189183931970202,0.5552147239263804,0.058519324986390835
hgbr_residual_log_affine,2022,probability,"[0.65, 0.7)",116,0.6713339875636202,0.5309734513274337,0.013322884012539189
hgbr_residual_log_affine,2022,probability,"[0.7, 0.75)",60,0.7240521188923766,0.6333333333333333,0.20909090909090905
hgbr_residual_log_affine,2022,probability,"[0.75, 0.8)",27,0.7702735944951407,0.7407407407407407,0.41414141414141414
hgbr_residual_log_affine,2022,probability,"[0.8, 0.85)",21,0.8181527879986958,0.6190476190476191,0.1818181818181818
hgbr_residual_log_affine,2022,probability,"[0.85, 1.01)",20,0.8914652205368963,0.95,0.8136363636363635
hgbr_residual_log_affine,2022,edge,"[0.0, 0.02)",1346,0.5335113764163668,0.5202444614209321,-0.006618938268269619
hgbr_residual_log_affine,2022,edge,"[0.02, 0.04)",887,0.5530164029949134,0.5227537922987164,-0.001947319872911751
hgbr_residual_log_affine,2022,edge,"[0.04, 0.06)",545,0.5728222536943695,0.5281954887218046,0.008173477898248542
hgbr_residual_log_affine,2022,edge,"[0.06, 0.08)",323,0.5935230156235952,0.550314465408805,0.04981705600900647
