gameId,game_date,homeTeamId,awayTeamId,homeTeam,awayTeam,home_team_name,away_team_name,homeScore,awayScore,actual_margin,he_pred_margin,he_pred_sigma,he_home_win_prob,torvik_pred_margin,torvik_pred_sigma,torvik_home_win_prob,book_spread
1549,2024-12-01,44,318,Central Connecticut,UMass Lowell,Central Connecticut,UMass Lowell,69.0,67.0,2.0,4.5298657,10.857887,0.69409794,-2.376718,10.369205,0.40935313340838253,4.5
1557,2024-12-01,123,241,Iona,Rice,Rice,Iona,66.0,70.0,-4.0,-3.5755224,10.763102,0.34946904,7.3006134,11.224973,0.7422799477841194,4.5
1547,2024-12-01,160,7,Maryland,Alcorn State,Maryland,Alcorn St.,96.0,58.0,38.0,35.337444,14.553455,0.9953101,26.027039,14.687805,0.9618041217694488,-34.5
1554,2024-12-01,83,84,Fairfield,Fairleigh Dickinson,Fairfield,Fairleigh Dickinson,78.0,74.0,4.0,3.419704,12.052861,0.5766968,6.45164,11.318991,0.7156556359451327,-8.5
1559,2024-12-01,132,14,Kansas State,Arkansas-Pine Bluff,Kansas St.,Arkansas Pine Bluff,120.0,73.0,47.0,25.701412,14.401013,0.960649,25.909796,15.44902,0.9532400826081944,-34.5
1555,2024-12-01,290,319,Tennessee State,UNC Asheville,Tennessee St.,UNC Asheville,74.0,92.0,-18.0,3.6594205,11.231489,0.5183944,-3.4991782,11.377145,0.3792077989249521,1.5
1556,2024-12-01,91,190,Fordham,New Hampshire,Fordham,New Hampshire,83.0,61.0,22.0,8.049648,12.021958,0.686408,11.710153,10.339315,0.8713057039059108,-15.5
1558,2024-12-01,226,33,Penn State,Buffalo,Penn St.,Buffalo,87.0,64.0,23.0,18.771954,11.685563,0.9297284,22.212597,12.256045,0.9650361505200625,-28.5
1577,2024-12-02,97,317,Georgetown,UMBC,Georgetown,UMBC,86.0,62.0,24.0,18.832783,10.974476,0.9540423,18.148443,13.1075945,0.9169087139064785,-16.5
1596,2024-12-03,338,51,Villanova,Cincinnati,Villanova,Cincinnati,68.0,60.0,8.0,-0.8257209,12.561433,0.49248233,3.3314252,10.951323,0.619513385423077,4.5
1603,2024-12-03,66,67,Delaware,Delaware State,Delaware,Delaware St.,93.0,80.0,13.0,11.97505,11.894247,0.8641405,13.059033,12.032671,0.861105144327891,-12.5
1604,2024-12-03,34,77,Butler,Eastern Illinois,Butler,Eastern Illinois,73.0,58.0,15.0,15.5945635,13.168001,0.94191146,20.210192,10.881117,0.9683702888448791,-21.5
1665,2024-12-04,115,105,IU Indianapolis,Green Bay,IU Indy,Green Bay,84.0,75.0,9.0,-2.6865625,12.406299,0.5765297,-2.2599022,12.337473,0.4273308144728346,3.5
1659,2024-12-04,164,346,Mercer,West Georgia,Mercer,West Georgia,86.0,72.0,14.0,8.644412,12.236862,0.6946059,11.555903,9.853005,0.879568084562381,-10.5
1661,2024-12-04,111,107,Holy Cross,Harvard,Holy Cross,Harvard,68.0,67.0,1.0,6.860117,10.987233,0.69638777,-0.531211,11.292065,0.48123953259248364,2.5
