awayConference,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeScore,homeTeam_x,homeTeamId_x,season,seasonType,startDate_x,source_key,source_asof,provider,spread,overUnder,homeMoneyline,awayMoneyline,spreadOpen,overUnderOpen,startDate_y,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,spread_sign_for_votes,action,confidence,repair_reason,majority_sign_sum,peer_same_sign_count,peer_opposite_sign_count,non_consensus_same_sign_count,non_consensus_opposite_sign_count,original_spread,repaired_spread,original_spreadOpen,repaired_spreadOpen
Big 12,73.0,UCF,312,215011,Big 12,71.0,Utah,331,2026,regular,2026-02-22T02:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,1.5,152.5,,,1.5,156.5,2026-02-22T02:00:00.000Z,Utah,UCF,331,312,,keep,none,,0.0,0,0,0,0,1.5,1.5,1.5,1.5
Big 12,72.0,Kansas State,132,215012,Big 12,100.0,Texas Tech,298,2026,regular,2026-02-21T19:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-12.0,158.5,-1200.0,700.0,-16.5,159.0,2026-02-21T19:30:00.000Z,Texas Tech,Kansas State,298,132,-1.0,keep,none,,-2.0,1,0,1,0,-12.0,-12.0,-16.5,-16.5
Big 12,72.0,Kansas State,132,215012,Big 12,100.0,Texas Tech,298,2026,regular,2026-02-21T19:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-12.5,158.5,,,-16.5,159.5,2026-02-21T19:30:00.000Z,Texas Tech,Kansas State,298,132,-1.0,keep,none,,-2.0,1,0,1,0,-12.5,-12.5,-16.5,-16.5
Big 12,54.0,West Virginia,347,215013,Big 12,60.0,TCU,287,2026,regular,2026-02-21T22:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-5.0,132.0,-220.0,180.0,-5.5,130.0,2026-02-21T22:00:00.000Z,TCU,West Virginia,287,347,-1.0,keep,none,,-2.0,1,0,1,0,-5.0,-5.0,-5.5,-5.5
Big 12,54.0,West Virginia,347,215013,Big 12,60.0,TCU,287,2026,regular,2026-02-21T22:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-4.5,133.5,,,-5.5,130.5,2026-02-21T22:00:00.000Z,TCU,West Virginia,287,347,-1.0,keep,none,,-2.0,1,0,1,0,-4.5,-4.5,-5.5,-5.5
Big 12,84.0,Cincinnati,51,215014,Big 12,68.0,Kansas,131,2026,regular,2026-02-21T18:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-9.0,139.5,-650.0,450.0,-11.5,134.0,2026-02-21T18:00:00.000Z,Kansas,Cincinnati,131,51,-1.0,keep,none,,-2.0,1,0,1,0,-9.0,-9.0,-11.5,-11.5
Big 12,84.0,Cincinnati,51,215014,Big 12,68.0,Kansas,131,2026,regular,2026-02-21T18:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-9.5,139.5,-600.0,440.0,-10.5,134.5,2026-02-21T18:00:00.000Z,Kansas,Cincinnati,131,51,-1.0,keep,none,,-2.0,1,0,1,0,-9.5,-9.5,-10.5,-10.5
Big 12,73.0,Arizona,11,215015,Big 12,66.0,Houston,113,2026,regular,2026-02-21T20:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-6.5,141.5,-220.0,180.0,-5.0,142.0,2026-02-21T20:00:00.000Z,Houston,Arizona,113,11,-1.0,keep,none,,-2.0,1,0,1,0,-6.5,-6.5,-5.0,-5.0
Big 12,73.0,Arizona,11,215015,Big 12,66.0,Houston,113,2026,regular,2026-02-21T20:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-6.5,142.5,,,-3.5,139.5,2026-02-21T20:00:00.000Z,Houston,Arizona,113,11,-1.0,keep,none,,-2.0,1,0,1,0,-6.5,-6.5,-3.5,-3.5
Big 12,69.0,Oklahoma State,218,215016,Big 12,83.0,Colorado,56,2026,regular,2026-02-21T20:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-3.5,162.5,-165.0,140.0,-3.0,165.0,2026-02-21T20:30:00.000Z,Colorado,Oklahoma State,56,218,-1.0,keep,none,,-2.0,1,0,1,0,-3.5,-3.5,-3.0,-3.0
