half_life,margin_cap,alpha,avg_oe,std_oe,avg_de,std_de,hca,time
30.0,50.0,0.01,110.13876016483516,8.845107626404483,110.1387596153846,8.200065751449138,2.472,11.743227005004883
30.0,50.0,0.05,110.1387596153846,8.809741113089496,110.13876071428571,8.167722447680056,2.4755,11.571465015411377
30.0,50.0,0.1,110.13875769230769,8.766415561517341,110.13876126373626,8.128139930518739,2.4799,11.305538177490234
45.0,,0.001,110.12585906593407,9.211954286495024,110.12585824175825,8.380383142458028,2.6341,11.595371007919312
45.0,,0.01,110.12585796703299,9.207720791383995,110.12585714285714,8.376299444661887,2.6347,11.356356143951416
45.0,,0.05,110.12585604395605,9.189007474282255,110.12586098901099,8.358233330143314,2.6375,11.44225788116455
45.0,,0.1,110.12585604395605,9.165820599522748,110.12585494505495,8.335859576334444,2.6409,11.970257997512817
45.0,25.0,0.001,110.105353021978,7.890704747009686,110.10535439560441,8.50472177679372,2.2143,11.805419206619263
45.0,25.0,0.01,110.10535,7.887760657415873,110.10535192307692,8.502278430391621,2.2148,11.824005842208862
45.0,25.0,0.05,110.10535219780222,7.87475155781234,110.10535439560441,8.491466333982912,2.2168,11.868468999862671
45.0,25.0,0.1,110.10535494505494,7.85862847414953,110.10535357142858,8.478069763133275,2.2193,11.76114273071289
45.0,35.0,0.001,110.10701895604394,8.298489612343236,110.10702087912087,8.228889258329088,2.3557,11.97634506225586
45.0,35.0,0.01,110.10702060439561,8.295060529464546,110.10701675824174,8.225898806520648,2.3562,11.847425937652588
45.0,35.0,0.05,110.10701895604394,8.279896475796974,110.10701923076924,8.212671302052215,2.3585,11.560245990753174
45.0,35.0,0.1,110.1070184065934,8.261109493610277,110.10702005494505,8.196284996309375,2.3613,11.677021026611328
45.0,50.0,0.001,110.10951895604396,8.630441021948482,110.10952197802199,7.978331770282915,2.4299,11.49229884147644
45.0,50.0,0.01,110.10952032967033,8.626661061452012,110.10952225274725,7.974839942673867,2.4305,11.73414397239685
45.0,50.0,0.05,110.10951868131868,8.609932290937373,110.10951840659342,7.959387996588606,2.433,11.745388746261597
45.0,50.0,0.1,110.10952170329669,8.589207192330289,110.10952252747254,7.940252764609092,2.4361,11.364595890045166
60.0,,0.001,110.0851456043956,9.146683979111074,110.08514725274726,8.305027840128487,2.6128,11.620898962020874
60.0,,0.01,110.08514587912087,9.14383042407573,110.08514340659343,8.302266842074443,2.6133,11.533551931381226
60.0,,0.05,110.0851489010989,9.131187348962046,110.08514505494506,8.290043599286715,2.6156,11.50135612487793
60.0,,0.1,110.08514917582417,9.115472765032784,110.08514697802197,8.274852589744537,2.6184,11.289735794067383
60.0,25.0,0.001,110.06818434065933,7.8149558363309835,110.06818846153845,8.423470835358572,2.2001,11.675425052642822
60.0,25.0,0.01,110.06818269230767,7.812982355572519,110.06818406593408,8.421800551011204,2.2005,11.548587799072266
60.0,25.0,0.05,110.0681857142857,7.8042332624850115,110.06818791208791,8.414415665601348,2.2021,11.596660852432251
60.0,25.0,0.1,110.0681857142857,7.7933627544176405,110.06818653846155,8.40522655954355,2.2041,11.769776105880737
60.0,35.0,0.001,110.06956428571429,8.220451587079957,110.06956565934064,8.1489534907316,2.3398,11.606681108474731
