season,option,base_score,method,train_seasons,intercept,coef,x_thresholds,y_thresholds
2022,isotonic_best_posthoc_z,z_best,isotonic,"[2019, 2020]",,,"[-1.8357189430832903, -1.308287577785995, -1.2790893788514162, -1.0590000583472392, -0.9891841961242479, -0.8793780841869796, -0.8733004276838737, -0.7817134468192276, -0.7808322768991786, -0.7520765728420682, -0.742369016011556, -0.5184654165318819, -0.5182476019051363, -0.29839907829811385, -0.2982727885799055, -0.2922402844371072, -0.2922398321259139, -0.13301937924918586, -0.1328654624637644, -0.1317512170402071, -0.13161504238931165, 0.3216272828786974, 0.3217986141393743, 0.34512207235647885, 0.3453279016128736, 0.356322708927946, 0.35653698999125144, 0.3938749779942992, 0.3940410911421407, 0.5009901368245709, 0.5010414418384428, 0.5883141419946456, 0.5886415004597774, 0.820224560146351, 0.8239359192861178, 1.276843280288822, 1.3014662588441954, 1.6566448211669922, 1.6952787472532, 2.3003333494293687, 2.4576175725753386, 2.8723042019057656]","[1e-06, 1e-06, 0.14285714285714285, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.4264705882352941, 0.4264705882352941, 0.4403470715835141, 0.4403470715835141, 0.45714285714285713, 0.45714285714285713, 0.47482435597189687, 0.47482435597189687, 0.5, 0.5, 0.5107095046854087, 0.5107095046854087, 0.5118110236220472, 0.5118110236220472, 0.5121951219512195, 0.5121951219512195, 0.5413533834586466, 0.5413533834586466, 0.5416666666666666, 0.5416666666666666, 0.5652173913043478, 0.5652173913043478, 0.5727272727272728, 0.5727272727272728, 0.6491228070175439, 0.6491228070175439, 0.8125, 0.8125, 0.875, 0.875, 0.999999, 0.999999]"
2023,raw_mlp_normal,z_raw,normal,"[2019, 2020, 2022]",,,,
2023,best_posthoc_normal,z_best,normal,"[2019, 2020, 2022]",,,,
2023,constant14_normal,z_const14,normal,"[2019, 2020, 2022]",,,,
2023,logistic_raw_z,z_raw,logistic,"[2019, 2020, 2022]",-0.018852108169745523,0.4374186693019715,,
2023,isotonic_raw_z,z_raw,isotonic,"[2019, 2020, 2022]",,,"[-3.89730443232341, -1.7739719182246108, -1.7406228872508678, -1.2406864401586537, -1.2316923831645696, -0.9266134558766148, -0.9240758272791685, -0.8246438636641276, -0.823935832974772, -0.7343950109968062, -0.7340878927699306, -0.4849936580460918, -0.4840071546421317, -0.2628986965205927, -0.2628636614462411, -0.237061649460191, -0.23687581294411683, -0.20023085400198637, -0.20018845094462198, -0.10958697423709832, -0.10955855051676432, -0.10933380493891745, -0.10924646131496626, 0.28983933093674374, 0.28991450800301166, 0.3039239361877828, 0.30397109815662837, 0.313654931252641, 0.31379058105107693, 0.41171967848071367, 0.4117249541625788, 0.5635128985005119, 0.5635793199931166, 0.5758453416733168, 0.5759031039486732, 0.7691023319791725, 0.7733032071349465, 0.8348903306708407, 0.8352100910103494, 1.3872477946958905, 1.39366780392162, 1.5779460854296765, 1.5845572153727214, 2.3642685607596166, 2.4848146536933164, 4.888168823828976]","[1e-06, 1e-06, 0.0625, 0.0625, 0.2, 0.2, 0.2692307692307692, 0.2692307692307692, 0.3611111111111111, 0.3611111111111111, 0.42748091603053434, 0.42748091603053434, 0.44682752457551383, 0.44682752457551383, 0.4581673306772908, 0.4581673306772908, 0.4653465346534654, 0.4653465346534654, 0.4767818574514039, 0.4767818574514039, 0.5, 0.5, 0.506457102813094, 0.506457102813094, 0.5074626865671642, 0.5074626865671642, 0.5113636363636364, 0.5113636363636364, 0.5238828967642526, 0.5238828967642526, 0.5473684210526317, 0.5473684210526317, 0.5652173913043478, 0.5652173913043478, 0.5656108597285069, 0.5656108597285069, 0.5789473684210527, 0.5789473684210527, 0.5939849624060151, 0.5939849624060151, 0.7391304347826086, 0.7391304347826086, 0.75, 0.75, 0.999999, 0.999999]"
2023,logistic_best_posthoc_z,z_best,logistic,"[2019, 2020, 2022]",-0.019772241652146826,0.4854379573820073,,
2023,isotonic_best_posthoc_z,z_best,isotonic,"[2019, 2020, 2022]",,,"[-3.8464929719186327, -1.308287577785995, -1.3053476143572778, -1.048610627948727, -1.0372461775004513, -0.7902079647759908, -0.7857493808994777, -0.47514110653901004, -0.4744587633837999, -0.38235419290585065, -0.3818784824911517, -0.29839907829811385, -0.2982727885799055, -0.28866752861919376, -0.2885717873265717, -0.15807627270150493, -0.15800942314995658, -0.14010008754383033, -0.1400882278207448, -0.1392789923432333, -0.13925060195575217, -0.13337167104085287, -0.133324772225709, -0.13294943244587906, -0.1328654624637644, 0.34512207235647885, 0.3452337380974975, 0.3543990587054811, 0.35461073775709034, 0.49071236850653965, 0.49105339510738716, 0.732382537730374, 0.7335492329680028, 0.872522227814041, 0.872920331534834, 1.276843280288822, 1.2942712224525208, 1.5685681460406586, 1.5716015163053954, 1.6882174173549394, 1.6952787472532, 2.3003333494293687, 2.354394701491018, 2.8723042019057656]","[1e-06, 1e-06, 0.11764705882352941, 0.11764705882352941, 0.24242424242424243, 0.24242424242424243, 0.4009433962264151, 0.4009433962264151, 0.43231441048034935, 0.43231441048034935, 0.44562899786780386, 0.44562899786780386, 0.4470588235294118, 0.4470588235294118, 0.468040147913365, 0.468040147913365, 0.4697674418604651, 0.4697674418604651, 0.47619047619047616, 0.47619047619047616, 0.477124183006536, 0.477124183006536, 0.5, 0.5, 0.5053533190578158, 0.5053533190578158, 0.543859649122807, 0.543859649122807, 0.5452930728241564, 0.5452930728241564, 0.5454545454545454, 0.5454545454545454, 0.5921052631578947, 0.5921052631578947, 0.6521739130434783, 0.6521739130434783, 0.6538461538461539, 0.6538461538461539, 0.75, 0.75, 0.9166666666666666, 0.9166666666666666, 0.999999, 0.999999]"
2024,raw_mlp_normal,z_raw,normal,"[2019, 2020, 2022, 2023]",,,,
2024,best_posthoc_normal,z_best,normal,"[2019, 2020, 2022, 2023]",,,,
