n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,slice,holdout_season
5401,4978,9.760758172704397,12.680127006185414,7.912088871002197,0.7239400111090539,9.208349490872308,8.739152269987947,0.4691972208843609,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2019
5197,4831,9.56654414773461,12.428426287781493,7.6690850257873535,0.7390802385991918,9.073760036698102,8.797660939764024,0.27609909693407886,,,,,HistGradientBoosting,pre_dec15,2020
5197,4831,9.56654414773461,12.428426287781493,7.6690850257873535,0.7390802385991918,9.073760036698102,8.797660939764024,0.27609909693407886,,,,,HistGradientBoostingSwapSafeV2,pre_dec15,2020
5197,4831,9.800535079509377,12.804569165950554,7.7874298095703125,0.7317683278814701,9.26308548544359,8.797660939764024,0.46542454567956604,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2020
5522,5083,9.378456507359104,12.175866437799549,7.491303384304047,0.743208982252807,8.848957446455975,8.64420617745426,0.20475126900171503,,,,,HistGradientBoosting,pre_dec15,2022
5522,5083,9.378456507359104,12.175866437799549,7.491303384304047,0.743208982252807,8.848957446455975,8.64420617745426,0.20475126900171503,,,,,HistGradientBoostingSwapSafeV2,pre_dec15,2022
5522,5083,9.614879233395373,12.561032405211193,7.724572062492371,0.7321622600507063,8.965552335838177,8.64420617745426,0.32134615838391767,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2022
5541,5167,9.602011954211095,12.298360956392976,7.927463531494141,0.7289297960656921,9.165364478635547,8.894426166053803,0.2709383125817446,,,,,HistGradientBoosting,pre_dec15,2023
5541,5167,9.602011954211095,12.298360956392976,7.927463531494141,0.7289297960656921,9.165364478635547,8.894426166053803,0.2709383125817446,,,,,HistGradientBoostingSwapSafeV2,pre_dec15,2023
5541,5167,9.86006976407627,12.750184605119953,8.104668617248535,0.7166576430247248,9.352396171661665,8.894426166053803,0.45797000560786216,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2023
5597,4810,9.629373775479218,12.30787455024667,7.978690147399902,0.7259246024656065,9.25526470734988,8.854054054054053,0.40121065329582706,,,,,HistGradientBoosting,pre_dec15,2024
5597,4810,9.629373775479218,12.30787455024667,7.978690147399902,0.7259246024656065,9.25526470734988,8.854054054054053,0.40121065329582706,,,,,HistGradientBoostingSwapSafeV2,pre_dec15,2024
5597,4810,9.864669035720034,12.57900417790614,8.11570930480957,0.7150259067357513,9.425762593184535,8.854054054054053,0.5717085391304817,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2024
5708,4979,9.557949092663351,12.312575326923492,7.860647812485695,0.7351086194814296,9.09998469902933,8.72976501305483,0.37021968597449906,,,,,HistGradientBoosting,pre_dec15,2025
5708,4979,9.557949092663351,12.312575326923492,7.860647812485695,0.7351086194814296,9.09998469902933,8.72976501305483,0.37021968597449906,,,,,HistGradientBoostingSwapSafeV2,pre_dec15,2025
5708,4979,9.80333284189137,12.641512358575858,7.93709659576416,0.7324807288016818,9.266508370215394,8.72976501305483,0.5367433571605638,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15,2025
